
,1,7883,6065,13969,833,1243,3980,12900,13998,586,2720,3013,3510,5108,12168,13639,14424,17449,17759,431,4544,9660,6097,8704,10815,16297,
,2,519,1444,4537,9768,16316,513,4471,4567,10857,16330,152,357,3284,5083,7418,10153,12351,15522,17562,2945,3255,3750,4220,6672,7625,
,3,3456,4537,13438,8035,17562,8097,17606,18270,14218,18066,988,2614,5732,12061,13022,14477,4145,6860,10177,10799,13509,15909,17631,1064,1334,
,4,4688,6564,12536,4215,4448,6999,10882,12247,3020,16649,9149,9319,14649,2137,3065,6901,6965,8772,15701,5782,6808,9256,10385,10415,16721,
,5,18094,4982,5821,17005,10094,16613,17747,7413,8279,3785,7078,10639,18486,14105,17523,11,1013,1087,2379,10737,11452,12066,12924,12948,14575,
,6,17669,16319,1193,7623,17254,1134,2299,3353,4488,6052,12638,13820,14580,298,3291,3830,9158,11888,12252,12572,16521,7513,8902,9950,11199,
,7,8042,17551,4141,18616,13179,353,12212,5644,9128,15294,3251,1247,2851,4169,11170,12598,13482,72,8159,11653,11984,14054,569,3843,5809,
,8,10222,2798,6566,3864,4616,13108,13934,14911,15066,16031,18252,738,14033,3181,6915,13946,17539,2252,4372,4816,7831,9554,17357,379,2666,
,9,484,6063,9634,15952,11969,16912,5084,12021,16365,17159,18392,3583,6076,7013,8068,10356,16127,16654,715,3288,4159,5684,9834,12461,13080,
,10,5869,9675,14833,18208,16006,2063,8710,12381,17581,6808,11230,13520,436,3877,5544,7395,10594,14890,793,9874,12808,15537,1744,2350,3169,
,11,9451,15958,17021,16230,16928,4561,9111,4292,13620,210,7762,16219,4798,9982,14355,18299,6013,7639,3442,3740,6104,8744,14725,16654,7013,
,12,3201,11654,2701,5520,5805,14662,15838,9131,9646,10273,17534,2832,8712,11696,12874,13836,7428,9162,9715,12695,3776,5889,6790,7221,8619,
